title,artist,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
The Hills,The Weeknd,2015,113.0,56.0,59.0,-7.0,14.0,14.0,242.0,7.0,5.0,88.0
Pumped Up Kicks,Foster The People,2011,128.0,71.0,73.0,-6.0,10.0,97.0,240.0,14.0,3.0,88.0
Stressed Out,Twenty One Pilots,2015,170.0,64.0,73.0,-6.0,6.0,65.0,202.0,5.0,14.0,88.0
Night Changes,One Direction,2014,120.0,52.0,67.0,-8.0,12.0,37.0,227.0,86.0,4.0,88.0
Circles,Post Malone,2019,120.0,76.0,70.0,-3.0,9.0,55.0,215.0,19.0,4.0,88.0
goosebumps,Travis Scott,2016,130.0,73.0,84.0,-3.0,15.0,43.0,244.0,8.0,5.0,88.0
Paradise,Coldplay,2011,140.0,59.0,45.0,-7.0,8.0,21.0,279.0,5.0,3.0,88.0
we fell in love in october,girl in red,2018,130.0,37.0,57.0,-13.0,16.0,24.0,184.0,11.0,3.0,88.0
Ni**as In Paris,JAY-Z,2011,140.0,86.0,79.0,-6.0,35.0,78.0,219.0,13.0,31.0,88.0
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,2013,116.0,81.0,79.0,-9.0,10.0,86.0,248.0,4.0,4.0,88.0
Paradise,Coldplay,2011,140.0,59.0,45.0,-7.0,8.0,21.0,279.0,5.0,3.0,88.0
bad guy,Billie Eilish,2019,135.0,43.0,70.0,-11.0,10.0,56.0,194.0,33.0,38.0,88.0
Bored,Billie Eilish,2017,120.0,32.0,61.0,-13.0,8.0,11.0,181.0,90.0,5.0,88.0
positions,Ariana Grande,2021,144.015,80.2,73.7,-4.771,9.31,68.2,172.325,46.800000000000004,8.780000000000001,88.0
7 rings,Ariana Grande,2019,140.0,32.0,78.0,-11.0,9.0,33.0,179.0,59.0,33.0,88.0
Someone You Loved,Lewis Capaldi,2021,109.891,40.5,50.1,-5.679,10.5,44.6,182.161,75.1,3.19,88.0
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,2021,122.98,86.2,82.39999999999999,-3.424,30.3,80.10000000000001,169.153,0.76,12.6,88.0
Closer,The Chainsmokers,2016,95.0,52.0,75.0,-6.0,11.0,66.0,245.0,41.0,3.0,88.0
I WANNA BE YOUR SLAVE,Måneskin,2021,132.507,60.8,75.0,-4.008,17.8,95.8,173.347,0.165,3.8699999999999997,88.0
What Makes You Beautiful,One Direction,2012,125.0,79.0,73.0,-2.0,6.0,89.0,200.0,1.0,7.0,88.0
Starboy,The Weeknd,2016,186.0,59.0,68.0,-7.0,14.0,49.0,230.0,14.0,28.0,88.0
SAD!,XXXTENTACION,2018,75.0,61.0,74.0,-5.0,12.0,47.0,167.0,26.0,14.0,88.0
you broke me first,Tate McRae,2021,124.148,37.3,66.7,-9.389,9.06,8.23,169.266,78.5,5.0,88.0
The Business,Tiësto,2021,120.031,62.0,79.80000000000001,-7.079,11.200000000000001,23.5,164.0,41.4,23.200000000000003,88.0
Streets,Doja Cat,2021,90.035,46.300000000000004,74.9,-8.433,33.800000000000004,18.9,226.987,21.0,8.42,87.0
LA NOCHE DE ANOCHE,Bad Bunny,2021,81.993,61.8,85.6,-4.892,8.66,39.1,203.201,3.0300000000000002,28.599999999999998,87.0
Love The Way You Lie,Eminem,2010,87.0,93.0,75.0,-5.0,52.0,64.0,263.0,24.0,23.0,87.0
Talking to the Moon,Bruno Mars,2010,146.0,59.0,50.0,-5.0,11.0,8.0,218.0,51.0,3.0,87.0
Something Just Like This,The Chainsmokers,2017,103.0,64.0,62.0,-7.0,16.0,45.0,247.0,5.0,3.0,87.0
bad guy,Billie Eilish,2019,135.0,43.0,70.0,-11.0,10.0,56.0,194.0,33.0,38.0,87.0
Shallow,Lady Gaga,2018,96.0,39.0,57.0,-6.0,23.0,32.0,216.0,37.0,3.0,87.0
Maps,Maroon 5,2014,120.0,71.0,74.0,-6.0,6.0,88.0,190.0,2.0,3.0,87.0
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2011,90.0,80.0,65.0,-3.0,27.0,80.0,211.0,3.0,10.0,87.0
Classic,MKTO,2012,102.0,79.0,72.0,-5.0,16.0,76.0,175.0,4.0,12.0,87.0
